day,S_mean,S_std,I_mean,I_std,R_mean,R_std
35,997131.9,81.48271800408325,1259.5,30.678439769106017,1608.6,55.43805351721668
36,996960.8,90.41238853165926,1301.5,43.678751508408915,1737.7,56.715763045010505
37,996783.8,90.03184621750869,1355.3,46.17611215047596,1860.9,59.5006069063352
38,996598.8,91.8365698159422,1404.9,40.76068367107367,1996.3,64.48781107913167
39,996414.5,93.90213581762825,1451.9,38.12100616603805,2133.6,67.04757846319121
40,996224.3,97.63884700489376,1491.5,41.639324362113875,2284.2,74.38309246357296
41,996026.8,98.84420963201141,1539.2,44.71092334840185,2434.0,70.04125768272428
42,995822.9,102.57512152347773,1585.6,44.28995371413246,2591.5,76.30385165755247
43,995615.9,107.5819584213435,1629.4,42.596817825852845,2754.7,82.93109589693526
44,995400.5,114.31656825578081,1679.2,40.636054051653296,2920.3,86.12529632266389
45,995184.9,119.12500437216093,1731.4,46.45954034306506,3083.7,89.18152524174747
46,994957.0,121.28112429851949,1781.8,45.830121099556344,3261.2,96.67218375060696
47,994728.3,123.025787721296,1835.6,49.580910304941625,3436.1,100.8171612375591
48,994492.3,125.68660319311489,1885.7,50.69746870735595,3622.0,112.99754176283855
49,994254.4,127.6742382437137,1935.9,48.99988662118394,3809.7,111.29545263746306
50,994007.0,132.66917920568878,1993.3,42.73965111904609,3999.7,113.28337134029084
51,993758.4,129.06690771328115,2044.2,36.85346357912322,4197.4,120.81776911254951
52,993502.1,134.27703534938905,2091.8,39.301682180566026,4406.1,115.8250116914881
53,993246.8,142.32185746085338,2143.2,37.89986807364903,4610.0,116.08138907201666
54,992979.5,139.7245305751398,2201.0,40.124805295477785,4819.5,126.54314152361907
55,992707.1,139.73343670479736,2259.0,38.00584750330464,5033.9,127.90834392034174
56,992433.1,138.81598531069136,2303.2,36.266911763877665,5263.7,126.84377968368983
57,992150.7,144.8340429595172,2353.7,53.013729877792294,5495.6,126.4464752814846
58,991875.0,151.39132515878393,2385.7,48.946796513039395,5739.3,131.3570621541826
59,991580.1,159.52878528131563,2435.6,56.06187058360903,5984.3,130.03764412234213
60,991287.3,165.7474987242239,2474.5,54.24891191945186,6238.2,128.22532251210495
61,990991.8,164.70026647755486,2520.8,50.858846056730535,6487.4,131.9841741354706
62,990685.6,169.75092865071298,2581.5,61.73104747387834,6732.9,133.25952123582013
63,990368.7,172.33884581770744,2645.3,62.212985425516756,6986.0,135.38504759060768
64,990046.3,171.661197323844,2698.4,66.10799245678724,7255.3,132.28592769704053
65,989729.0,173.29358518614305,2751.3,62.14686905495183,7519.7,130.5178148759778
66,989401.5,172.3873222974569,2806.9,61.58183354060045,7791.6,134.48436505573605
67,989068.1,173.71269383669463,2857.6,65.97339531120774,8074.3,134.3602537128364
68,988729.5,179.9729918009288,2910.5,68.37194031342258,8360.0,142.9242223464355
69,988388.0,186.09256955731584,2959.4,85.41168278142959,8652.6,145.69999618699023
70,988047.7,186.9111791436934,3011.1,87.19511963916842,8941.2,145.04313534638962
71,987698.3,194.48567499376054,3061.9,76.2181809748246,9239.8,149.0948989365125
72,987342.6,203.12568632358648,3114.1,78.3275884418199,9543.3,146.48022240410322
73,986982.1,206.34138379555588,3152.5,69.80807021159282,9865.4,160.4522774326789
74,986608.9,213.91350796265667,3204.5,84.3053313194895,10186.6,155.55506349128513
75,986235.9,226.035616662519,3254.1,83.87881470046861,10510.0,158.80246289721788
76,985861.5,230.76792093644602,3300.5,79.66771268490426,10838.0,173.66058850527946
77,985476.4,235.06935146888648,3350.4,70.18895133059684,11173.2,180.5022622203575
78,985081.3,227.28643211204272,3415.0,58.08805576211186,11503.7,187.58053085423228
79,984685.9,234.98059021497355,3463.8,62.12317513528175,11850.3,183.56896978156928
80,984281.0,244.203012084437,3522.2,61.84712334997209,12196.8,192.831417449428
81,983876.5,248.90660899221217,3580.3,57.06730918641404,12543.2,202.74329691618524
82,983464.3,252.1490079738576,3628.1,62.902835124234805,12907.6,199.20687181364508
83,983047.3,253.4057133443439,3681.0,53.44363593752024,13271.7,205.44642448417855
84,982624.5,257.091099288432,3739.9,57.01159726075227,13635.6,205.58328942034393
85,982205.5,249.69058630410953,3785.5,48.89728463263018,14009.0,210.44291915439254
86,981773.7,246.73514815151,3841.5,40.28026812224564,14384.8,223.81132927336634
87,981338.6,249.07705188911603,3890.2,44.216135817896436,14771.2,228.1426454362861
88,980898.6,259.1456904694185,3940.1,39.43052962701194,15161.3,231.7331079784104
89,980439.4,256.11464446828234,3996.8,42.70519094130517,15563.8,221.816640994814
90,979987.3,254.0573207412582,4057.4,51.02548382916125,15955.3,226.0344369043502
91,979523.4,250.71063444182093,4118.3,43.57381986672481,16358.3,235.75460405543188
92,979051.7,251.6523395480299,4186.4,38.759084956519004,16761.9,235.82500574225253
93,978582.9,260.2458026131795,4247.9,45.947917375122714,17169.2,236.64168882276226
94,978103.0,269.0220973988626,4305.2,59.381628284998925,17591.8,242.89631990259156
95,977619.3,271.3177923477221,4350.3,65.95292934274326,18030.4,238.6001769581152
96,977128.7,270.0707931882614,4410.2,60.468173446863844,18461.1,241.00781453443958
97,976636.8,271.15546995937154,4462.9,59.42399440555242,18900.3,242.8758484859659
98,976145.3,278.3598989317953,4515.9,64.38158812027608,19338.8,243.40629043272912
99,975638.0,297.2937193341954,4558.7,72.0818207933795,19803.3,244.00730863370987
100,975130.0,303.47945198608755,4622.9,63.36569348717884,20247.1,250.11084209472676
101,974630.4,302.93020831721884,4667.4,48.38319267404056,20702.2,262.5443031397007
102,974109.3,310.1118257087987,4709.0,63.63786434016918,21181.7,259.9777981973758
103,973601.5,320.78454174448956,4747.0,61.982076262237165,21651.5,268.2334182510947
104,973080.3,323.84703179124404,4786.4,64.56211479394598,22133.3,271.1854838789622
105,972551.8,328.17400533525165,4834.9,68.9628724588657,22613.3,275.19167057808215
106,972006.8,330.4988821631727,4905.0,59.055529424056125,23088.2,289.8021547347239
107,971460.5,333.51003649733434,4962.5,60.10407640085652,23577.0,292.8040679741697
108,970907.1,333.7325775727247,5015.1,60.978047051559564,24077.8,304.3305220753687
109,970353.9,346.15168479856356,5070.9,68.78864570390787,24575.2,301.56547105617574
110,969792.8,347.98620662318615,5131.8,62.64503172638667,25075.4,306.7964218247086
111,969222.5,359.1994957927576,5192.8,64.82249266694045,25584.7,307.12576142898456
112,968648.3,364.543260654875,5250.9,68.84677027847994,26100.8,314.140379094725
113,968073.5,371.97916608327046,5293.5,66.49185413768122,26633.0,325.0798192581153
114,967496.0,375.34843072064723,5344.2,78.28693661425544,27159.8,311.6154325090102
115,966905.3,378.7943006728591,5411.7,80.97743169824814,27683.0,314.5190331636901
116,966314.8,373.73335711737894,5454.2,62.278585583025546,28231.0,325.58528495277204
117,965721.1,384.99479072954273,5492.3,64.24268224648021,28786.6,333.9664653823798
118,965114.4,387.4134168502079,5553.2,73.85090084457707,29332.4,333.15868758162514
119,964503.9,388.8508568704573,5611.0,85.13257634745679,29885.1,340.14064084663005
120,963881.5,389.80885629299576,5687.0,87.87238221167985,30431.5,355.7246906746218
121,963260.8,389.0177945087546,5744.9,82.22253002945394,30994.3,358.8360969083856
122,962634.2,380.8662057293472,5804.4,76.90137984602234,31561.4,370.59747555655247
123,962010.7,386.4879040798039,5855.0,102.65800829290748,32134.3,375.1604249443757
124,961380.7,399.3995632334937,5900.2,101.44708527656726,32719.1,367.2067083628332
125,960731.1,399.6936187743149,5963.6,92.7220458023752,33305.3,365.0790021047198
126,960086.4,394.05222440121634,6013.3,75.4336352917802,33900.3,359.47061385073306
127,959442.7,403.10435649124867,6055.2,77.8257312490184,34502.1,357.6666511338913
128,958796.4,408.665089719654,6104.2,74.16168522596797,35099.4,354.5348125831001
129,958145.1,419.59569164190856,6148.5,64.84382948455637,35706.4,371.88594428339917
130,957468.7,418.47369491204716,6211.1,59.58830981548868,36320.2,373.63047698673125
131,956801.7,418.56634944637455,6254.2,66.82281712775121,36944.1,369.5869917143231
132,956129.1,418.4034337016295,6295.3,68.29031166034217,37575.6,376.7770339780989
133,955448.1,416.66785333163904,6350.7,51.53434669120117,38201.2,389.92728666879543
134,954759.2,413.74194856214365,6401.1,49.969879816634524,38839.7,390.02366025095887
135,954075.3,415.9257545924957,6438.5,58.33476188726971,39486.2,403.5866422192115
136,953372.6,413.2376771033496,6499.3,36.22476132886662,40128.1,396.2508885373848
137,952682.3,412.9100117189967,6551.5,32.35652089524532,40766.2,407.7234356766858
138,951975.6,417.3919554141456,6597.8,27.691956313060484,41426.6,418.80151756065993
139,951258.4,418.0861686834953,6659.8,45.42833183524718,42081.8,416.9840924223991
140,950541.9,431.3785267410841,6692.6,47.64031905854532,42765.5,417.5170655194809
141,949814.1,433.82214737788524,6745.4,76.47977219863803,43440.5,401.6925994394774
142,949084.6,445.4099734451932,6813.7,93.32386856771666,44101.7,404.6664058208932
143,948351.9,445.0993522050256,6875.4,95.92612898591413,44772.7,417.19194889429787
144,947616.6,455.02996238342564,6917.5,77.15964690893232,45465.9,436.31880546224465
145,946865.6,470.9857747321021,6973.0,61.63873241179882,46161.4,444.1121479986785
146,946105.0,471.36067813183075,7037.7,77.42817460215737,46857.3,446.88752002663267
147,945343.9,474.9475877516671,7104.4,79.18782173485448,47551.7,446.5855772164819
148,944573.5,477.7882492392609,7174.4,80.1334997225117,48252.1,455.49983534574426
149,943804.0,480.2013466592278,7229.4,69.3192293346913,48966.6,455.9405906718795
150,943026.9,496.83698422006273,7284.3,73.486279898586,49688.8,458.63245996476604
151,942245.5,501.1997273210209,7341.0,71.68914376203226,50413.5,465.2693962760829
152,941442.8,505.8352388761305,7404.2,89.11889686131538,51153.0,462.3118235803863
153,940647.9,513.0565162717238,7454.4,76.6046125678256,51897.7,466.194058306195
154,939850.8,528.901965291209,7518.6,82.68978171455043,52630.6,480.5538933818392
155,939055.8,533.7572898279183,7565.7,79.82209385042884,53378.5,490.07556106742965
156,938246.3,534.7543672877591,7609.2,59.1547875398848,54144.5,500.328170082175
157,937430.5,546.7902807394215,7672.7,70.51248904350993,54896.8,508.20682578825927
158,936607.1,558.2752109050723,7719.8,82.67983766043295,55673.1,518.22034138214
159,935784.1,568.7216561923947,7789.0,86.19615871822694,56426.9,518.8059902849566
160,934960.4,575.5866958542791,7840.1,85.17622255588044,57199.5,538.9405759862996
161,934133.4,570.2017576651498,7891.8,95.34358919193276,57974.8,527.4173552952794
162,933301.1,566.5273260056588,7930.0,78.10391937810945,58768.9,531.6906891124657
163,932453.8,565.5364807959721,7978.2,69.01014418185206,59568.0,529.862455947034
164,931596.4,570.1618093917583,8040.8,80.47470271941226,60362.8,538.3812775347985
165,930745.4,569.9941910035416,8066.5,52.64398245658172,61188.1,543.1423897612447
166,929885.2,564.3835968952832,8124.0,52.70673581241771,61990.8,543.5451121010004
167,929019.7,565.8598275584228,8175.5,41.277516075138685,62804.8,549.3852726254839
168,928157.4,567.5937905854049,8226.3,62.207627256541976,63616.3,548.551638407908
169,927294.0,577.884840507942,8272.5,64.74093673162974,64433.5,563.1513019508064
170,926408.7,573.1162476612632,8314.0,75.50717405209494,65277.3,568.2163222654636
171,925518.3,572.0468220929673,8360.2,77.488063596918,66121.5,560.2533653029973
172,924629.1,576.923343646651,8419.3,65.55582862466667,66951.6,557.9729583252447
173,923732.2,577.3038483617981,8471.1,49.929839664161584,67796.7,565.3254814706308
174,922833.5,584.2091044975126,8525.6,67.52316474942336,68640.9,554.9104932829744
175,921911.6,595.6434802426368,8604.8,64.72128277811278,69483.6,566.1951371509061
176,921004.7,593.8518427277206,8645.8,54.9864629805473,70349.5,553.9597358011594
177,920082.0,595.200433094225,8711.6,65.61537760142653,71206.4,563.0974259496431
178,919166.0,591.652300295062,8753.8,59.80672574589286,72080.2,568.1720787852128
179,918244.4,597.5678854973647,8811.0,64.51356446515744,72944.6,573.644915334297
180,917315.0,601.4428946754273,8849.2,50.02621534977652,73835.8,579.1405125989165
181,916376.3,605.3983169965481,8900.5,51.84003172152671,74723.2,581.5079630676684
182,915434.9,624.5432909112282,8965.5,75.06478683259053,75599.6,583.2112634181372
183,914492.9,631.885968967323,9013.4,79.14150477327195,76493.7,586.0157468494828
184,913542.1,636.4602544978997,9066.5,85.10418451652201,77391.4,583.0428228983988
185,912578.1,629.3667805377379,9116.5,76.92889935229506,78305.4,572.2577507848474
186,911612.3,629.2406446574277,9184.1,62.849821002131684,79203.6,589.4519488474028
187,910646.0,634.7888537843743,9247.0,66.35091894197433,80107.0,595.3910013129529
188,909672.2,630.4105893075555,9296.9,72.50049808258031,81030.9,601.5386659780636
189,908688.8,631.3691999667702,9353.5,81.65135910959751,81957.7,587.5049030528295
190,907707.6,635.1922193757922,9402.8,88.00732292763415,82889.6,592.3347777134906
191,906727.9,643.844606856167,9441.5,94.86276637566739,83830.6,605.6051518935406
192,905736.4,657.7230420169361,9505.4,76.34890670831896,84758.2,610.9400407023046
193,904748.5,664.9700494508517,9551.7,71.72795828684934,85699.8,625.1143539829746
194,903736.6,680.2741604186697,9599.9,91.86396948145065,86663.5,624.3459244147689
195,902720.9,684.5799117382528,9642.9,92.8277377128673,87636.2,627.4820581764327
196,901711.9,676.8097467777294,9689.9,114.39934925999832,88598.2,625.6240972909459
197,900696.5,689.6563153726147,9744.3,113.16266561410131,89559.2,638.8444081134128
198,899675.1,700.8356044354879,9800.0,109.19299936860016,90524.9,639.6440763772051
199,898642.5,712.1342336011339,9874.2,124.72440730577853,91483.3,633.1180423551
