day,S,I,R
0,999999,1,0
1,999997,3,0
2,999994,6,0
3,999986,14,0
4,999973,26,1
5,999958,40,2
6,999941,49,10
7,999918,67,15
8,999892,85,23
9,999860,106,34
10,999819,135,46
11,999779,160,61
12,999732,188,80
13,999682,219,99
14,999624,249,127
15,999560,286,154
16,999483,330,187
17,999395,383,222
18,999304,435,261
19,999222,474,304
20,999128,520,352
21,999034,557,409
22,998936,606,458
23,998821,662,517
24,998722,685,593
25,998598,750,652
26,998481,790,729
27,998350,833,817
28,998208,895,897
29,998053,968,979
30,997895,1020,1085
31,997740,1053,1207
32,997587,1105,1308
33,997424,1155,1421
34,997249,1221,1530
35,997076,1288,1636
36,996893,1331,1776
37,996717,1393,1890
38,996532,1446,2022
39,996332,1482,2186
40,996142,1516,2342
41,995928,1574,2498
42,995711,1650,2639
43,995488,1703,2809
44,995267,1763,2970
45,995049,1821,3130
46,994810,1857,3333
47,994566,1923,3511
48,994319,1960,3721
49,994088,2030,3882
50,993832,2071,4097
51,993591,2102,4307
52,993322,2163,4515
53,993065,2196,4739
54,992792,2246,4962
55,992523,2289,5188
56,992245,2326,5429
57,991947,2387,5666
58,991650,2433,5917
59,991329,2524,6147
60,991033,2548,6419
61,990740,2610,6650
62,990426,2685,6889
63,990101,2749,7150
64,989768,2791,7441
65,989448,2842,7710
66,989112,2910,7978
67,988773,2959,8268
68,988389,3020,8591
69,988026,3087,8887
70,987696,3118,9186
71,987320,3169,9511
72,986961,3217,9822
73,986616,3200,10184
74,986233,3274,10493
75,985850,3332,10818
76,985457,3375,11168
77,985077,3397,11526
78,984711,3414,11875
79,984315,3492,12193
80,983897,3565,12538
81,983496,3621,12883
82,983089,3659,13252
83,982677,3727,13596
84,982245,3778,13977
85,981838,3800,14362
86,981411,3848,14741
87,980977,3885,15138
88,980539,3953,15508
89,980069,4048,15883
90,979604,4122,16274
91,979162,4141,16697
92,978686,4224,17090
93,978186,4308,17506
94,977693,4364,17943
95,977206,4398,18396
96,976718,4447,18835
97,976228,4503,19269
98,975745,4544,19711
99,975212,4628,20160
100,974699,4701,20600
101,974212,4699,21089
102,973678,4768,21554
103,973131,4819,22050
104,972609,4851,22540
105,972063,4911,23026
106,971501,5005,23494
107,970964,5053,23983
108,970422,5078,24500
109,969868,5122,25010
110,969298,5203,25499
111,968741,5264,25995
112,968151,5333,26516
113,967563,5365,27072
114,966954,5470,27576
115,966359,5531,28110
116,965784,5535,28681
117,965179,5568,29253
118,964612,5580,29808
119,964041,5609,30350
120,963410,5722,30868
121,962802,5760,31438
122,962187,5812,32001
123,961583,5858,32559
124,960925,5936,33139
125,960274,6045,33681
126,959631,6094,34275
127,958984,6098,34918
128,958326,6162,35512
129,957670,6170,36160
130,956981,6288,36731
131,956294,6392,37314
132,955601,6427,37972
133,954913,6450,38637
134,954221,6486,39293
135,953543,6525,39932
136,952840,6569,40591
137,952142,6611,41247
138,951448,6585,41967
139,950731,6646,42623
140,949995,6687,43318
141,949256,6820,43924
142,948507,6918,44575
143,947794,6912,45294
144,947037,6959,46004
145,946264,7009,46727
146,945499,7068,47433
147,944719,7205,48076
148,943949,7282,48769
149,943190,7279,49531
150,942389,7363,50248
151,941593,7422,50985
152,940756,7526,51718
153,939941,7584,52475
154,939122,7640,53238
155,938369,7653,53978
156,937596,7650,54754
157,936800,7669,55531
158,935966,7745,56289
159,935126,7835,57039
160,934307,7842,57851
161,933462,7939,58599
162,932636,7962,59402
163,931765,8051,60184
164,930923,8038,61039
165,930088,8065,61847
166,929206,8200,62594
167,928330,8271,63399
168,927449,8352,64199
169,926563,8385,65052
170,925677,8444,65879
171,924790,8468,66742
172,923912,8509,67579
173,923030,8499,68471
174,922147,8564,69289
175,921213,8650,70137
176,920311,8706,70983
177,919410,8747,71843
178,918516,8741,72743
179,917610,8752,73638
180,916634,8864,74502
181,915706,8872,75422
182,914761,8920,76319
183,913827,8957,77216
184,912861,9032,78107
185,911884,9096,79020
186,910912,9166,79922
187,909911,9207,80882
188,908956,9269,81775
189,907967,9315,82718
190,906979,9402,83619
191,905995,9429,84576
192,905009,9514,85477
193,904038,9559,86403
194,903006,9612,87382
195,901979,9678,88343
196,901011,9700,89289
197,899976,9772,90252
198,898927,9826,91247
199,897888,9919,92193
