day,S,I,R
0,999999,1,0
1,999996,4,0
2,999990,10,0
3,999984,15,1
4,999969,29,2
5,999952,43,5
6,999929,64,7
7,999900,89,11
8,999873,108,19
9,999840,131,29
10,999801,157,42
11,999760,186,54
12,999707,223,70
13,999641,274,85
14,999574,305,121
15,999495,347,158
16,999439,371,190
17,999353,417,230
18,999275,445,280
19,999196,483,321
20,999093,544,363
21,998995,589,416
22,998893,639,468
23,998794,670,536
24,998681,726,593
25,998569,770,661
26,998443,824,733
27,998313,874,813
28,998179,912,909
29,998033,964,1003
30,997879,1020,1101
31,997733,1071,1196
32,997580,1107,1313
33,997412,1185,1403
34,997252,1236,1512
35,997075,1278,1647
36,996890,1334,1776
37,996729,1362,1909
38,996548,1393,2059
39,996357,1466,2177
40,996170,1490,2340
41,995985,1530,2485
42,995779,1588,2633
43,995585,1611,2804
44,995371,1656,2973
45,995158,1689,3153
46,994925,1733,3342
47,994697,1788,3515
48,994454,1856,3690
49,994201,1917,3882
50,993955,1966,4079
51,993699,2001,4300
52,993446,2061,4493
53,993188,2127,4685
54,992921,2158,4921
55,992654,2220,5126
56,992388,2255,5357
57,992131,2257,5612
58,991866,2305,5829
59,991578,2334,6088
60,991276,2405,6319
61,990993,2450,6557
62,990695,2507,6798
63,990377,2573,7050
64,990058,2654,7288
65,989725,2750,7525
66,989402,2783,7815
67,989062,2838,8100
68,988715,2925,8360
69,988369,2962,8669
70,988023,3030,8947
71,987706,3054,9240
72,987373,3108,9519
73,987017,3158,9825
74,986648,3206,10146
75,986257,3281,10462
76,985895,3337,10768
77,985539,3358,11103
78,985125,3427,11448
79,984744,3430,11826
80,984351,3493,12156
81,983943,3539,12518
82,983518,3616,12866
83,983087,3672,13241
84,982646,3737,13617
85,982179,3832,13989
86,981722,3906,14372
87,981274,3950,14776
88,980808,3993,15199
89,980355,4055,15590
90,979922,4100,15978
91,979463,4182,16355
92,979003,4215,16782
93,978537,4273,17190
94,978041,4364,17595
95,977563,4421,18016
96,977071,4484,18445
97,976572,4554,18874
98,976064,4613,19323
99,975552,4624,19824
100,975040,4670,20290
101,974533,4695,20772
102,974001,4769,21230
103,973501,4788,21711
104,972955,4835,22210
105,972431,4876,22693
106,971896,4937,23167
107,971348,5015,23637
108,970762,5137,24101
109,970198,5199,24603
110,969641,5230,25129
111,969023,5284,25693
112,968436,5373,26191
113,967844,5412,26744
114,967272,5459,27269
115,966673,5510,27817
116,966072,5548,28380
117,965466,5595,28939
118,964815,5689,29496
119,964182,5766,30052
120,963517,5865,30618
121,962896,5883,31221
122,962272,5914,31814
123,961629,5955,32416
124,960975,5982,33043
125,960319,6013,33668
126,959698,6014,34288
127,959050,6081,34869
128,958400,6130,35470
129,957754,6199,36047
130,957083,6233,36684
131,956430,6249,37321
132,955772,6277,37951
133,955090,6332,38578
134,954438,6382,39180
135,953754,6392,39854
136,953035,6491,40474
137,952363,6527,41110
138,951619,6609,41772
139,950893,6711,42396
140,950148,6768,43084
141,949377,6868,43755
142,948637,6947,44416
143,947900,7014,45086
144,947157,7025,45818
145,946365,7087,46548
146,945564,7193,47243
147,944800,7233,47967
148,944031,7299,48670
149,943268,7374,49358
150,942486,7434,50080
151,941690,7480,50830
152,940884,7536,51580
153,940119,7544,52337
154,939309,7623,53068
155,938521,7688,53791
156,937687,7739,54574
157,936834,7813,55353
158,935955,7905,56140
159,935123,7977,56900
160,934280,8055,57665
161,933474,8117,58409
162,932654,8103,59243
163,931829,8094,60077
164,930957,8187,60856
165,930118,8160,61722
166,929298,8119,62583
167,928447,8178,63375
168,927616,8208,64176
169,926755,8253,64992
170,925880,8275,65845
171,924987,8357,66656
172,924085,8440,67475
173,923190,8524,68286
174,922273,8608,69119
175,921355,8685,69960
176,920462,8682,70856
177,919506,8775,71719
178,918607,8785,72608
179,917652,8872,73476
180,916715,8928,74357
181,915756,8962,75282
182,914769,9062,76169
183,913811,9098,77091
184,912857,9153,77990
185,911913,9216,78871
186,910952,9284,79764
187,909992,9341,80667
188,909007,9398,81595
189,908018,9488,82494
190,907009,9505,83486
191,906076,9486,84438
192,905085,9532,85383
193,904087,9577,86336
194,903085,9625,87290
195,902070,9661,88269
196,901087,9639,89274
197,900070,9700,90230
198,899053,9766,91181
199,898024,9851,92125
