day,S,I,R
0,999999,1,0
1,999997,3,0
2,999993,7,0
3,999986,13,1
4,999976,21,3
5,999965,31,4
6,999945,51,4
7,999921,69,10
8,999890,90,20
9,999866,107,27
10,999824,137,39
11,999784,166,50
12,999737,197,66
13,999682,235,83
14,999632,262,106
15,999557,313,130
16,999490,343,167
17,999422,380,198
18,999327,436,237
19,999245,472,283
20,999151,519,330
21,999046,563,391
22,998943,620,437
23,998834,670,496
24,998722,721,557
25,998621,745,634
26,998514,770,716
27,998393,812,795
28,998266,871,863
29,998126,932,942
30,997984,987,1029
31,997835,1035,1130
32,997684,1084,1232
33,997520,1144,1336
34,997347,1204,1449
35,997178,1265,1557
36,997001,1324,1675
37,996802,1396,1802
38,996618,1447,1935
39,996438,1469,2093
40,996251,1522,2227
41,996047,1578,2375
42,995848,1612,2540
43,995646,1651,2703
44,995442,1676,2882
45,995224,1741,3035
46,994997,1802,3201
47,994764,1874,3362
48,994515,1960,3525
49,994282,1978,3740
50,994016,2057,3927
51,993765,2112,4123
52,993510,2155,4335
53,993260,2193,4547
54,992989,2285,4726
55,992735,2329,4936
56,992455,2359,5186
57,992172,2392,5436
58,991903,2400,5697
59,991609,2450,5941
60,991315,2487,6198
61,991032,2515,6453
62,990723,2588,6689
63,990402,2642,6956
64,990093,2703,7204
65,989764,2771,7465
66,989424,2827,7749
67,989078,2882,8040
68,988740,2909,8351
69,988395,2955,8650
70,988056,3013,8931
71,987706,3061,9233
72,987369,3086,9545
73,987033,3097,9870
74,986673,3147,10180
75,986300,3226,10474
76,985925,3264,10811
77,985520,3360,11120
78,985134,3412,11454
79,984730,3478,11792
80,984340,3510,12150
81,983931,3569,12500
82,983504,3629,12867
83,983103,3667,13230
84,982687,3746,13567
85,982252,3796,13952
86,981824,3833,14343
87,981387,3905,14708
88,980931,3964,15105
89,980458,4022,15520
90,979979,4146,15875
91,979509,4200,16291
92,979039,4255,16706
93,978600,4279,17121
94,978120,4342,17538
95,977637,4373,17990
96,977137,4447,18416
97,976663,4493,18844
98,976176,4544,19280
99,975679,4590,19731
100,975189,4621,20190
101,974681,4686,20633
102,974154,4732,21114
103,973640,4781,21579
104,973126,4819,22055
105,972604,4873,22523
106,972053,4951,22996
107,971496,4989,23515
108,970945,5045,24010
109,970377,5130,24493
110,969847,5160,24993
111,969282,5213,25505
112,968726,5261,26013
113,968150,5303,26547
114,967578,5352,27070
115,966964,5446,27590
116,966345,5488,28167
117,965756,5488,28756
118,965133,5552,29315
119,964479,5632,29889
120,963822,5750,30428
121,963200,5808,30992
122,962562,5867,31571
123,961903,6008,32089
124,961276,6050,32674
125,960643,6047,33310
126,960005,6113,33882
127,959343,6155,34502
128,958726,6177,35097
129,958045,6218,35737
130,957361,6285,36354
131,956685,6287,37028
132,956026,6297,37677
133,955344,6354,38302
134,954610,6445,38945
135,953941,6456,39603
136,953266,6475,40259
137,952554,6527,40919
138,951844,6642,41514
139,951103,6712,42185
140,950389,6758,42853
141,949693,6802,43505
142,948962,6867,44171
143,948217,6919,44864
144,947447,6945,45608
145,946706,6969,46325
146,945957,7017,47026
147,945186,7109,47705
148,944389,7226,48385
149,943604,7288,49108
150,942826,7326,49848
151,942072,7342,50586
152,941308,7368,51324
153,940471,7481,52048
154,939673,7563,52764
155,938843,7615,53542
156,938018,7644,54338
157,937160,7761,55079
158,936358,7732,55910
159,935527,7806,56667
160,934711,7832,57457
161,933908,7867,58225
162,933061,7962,58977
163,932205,8059,59736
164,931305,8144,60551
165,930463,8145,61392
166,929609,8173,62218
167,928768,8176,63056
168,927876,8258,63866
169,926984,8357,64659
170,926111,8407,65482
171,925226,8447,66327
172,924342,8453,67205
173,923440,8533,68027
174,922560,8564,68876
175,921638,8566,69796
176,920721,8642,70637
177,919777,8693,71530
178,918827,8786,72387
179,917900,8824,73276
180,916954,8837,74209
181,916015,8932,75053
182,915059,9022,75919
183,914149,9031,76820
184,913182,9052,77766
185,912189,9169,78642
186,911193,9230,79577
187,910221,9318,80461
188,909276,9309,81415
189,908261,9441,82298
190,907277,9508,83215
191,906268,9534,84198
192,905265,9591,85144
193,904267,9634,86099
194,903245,9714,87041
195,902220,9779,88001
196,901187,9928,88885
197,900162,9995,89843
198,899113,10068,90819
199,898055,10173,91772
