day,S,I,R
0,999999,1,0
1,999996,4,0
2,999988,12,0
3,999974,26,0
4,999959,38,3
5,999938,54,8
6,999918,70,12
7,999894,84,22
8,999863,109,28
9,999827,130,43
10,999791,151,58
11,999742,185,73
12,999693,216,91
13,999640,246,114
14,999576,289,135
15,999510,335,155
16,999437,381,182
17,999354,428,218
18,999272,468,260
19,999183,514,303
20,999081,559,360
21,998978,604,418
22,998881,643,476
23,998773,694,533
24,998650,761,589
25,998538,795,667
26,998420,833,747
27,998294,884,822
28,998158,929,913
29,998023,976,1001
30,997884,1029,1087
31,997738,1086,1176
32,997590,1125,1285
33,997430,1172,1398
34,997274,1201,1525
35,997123,1261,1616
36,996952,1297,1751
37,996762,1364,1874
38,996577,1417,2006
39,996413,1452,2135
40,996215,1507,2278
41,996008,1563,2429
42,995811,1605,2584
43,995599,1676,2725
44,995393,1707,2900
45,995195,1742,3063
46,994984,1774,3242
47,994760,1853,3387
48,994533,1895,3572
49,994279,1959,3762
50,994039,1998,3963
51,993797,2049,4154
52,993577,2064,4359
53,993319,2113,4568
54,993051,2176,4773
55,992751,2292,4957
56,992484,2312,5204
57,992178,2386,5436
58,991919,2373,5708
59,991622,2439,5939
60,991319,2498,6183
61,991025,2521,6454
62,990706,2577,6717
63,990406,2624,6970
64,990083,2688,7229
65,989771,2732,7497
66,989448,2789,7763
67,989123,2824,8053
68,988788,2875,8337
69,988460,2887,8653
70,988127,2944,8929
71,987758,3012,9230
72,987398,3077,9525
73,987004,3154,9842
74,986647,3166,10187
75,986287,3205,10508
76,985910,3217,10873
77,985520,3299,11181
78,985106,3376,11518
79,984699,3468,11833
80,984285,3547,12168
81,983892,3599,12509
82,983510,3597,12893
83,983069,3660,13271
84,982612,3749,13639
85,982205,3781,14014
86,981775,3827,14398
87,981348,3848,14804
88,980903,3919,15178
89,980442,4008,15550
90,979986,4036,15978
91,979525,4097,16378
92,979070,4151,16779
93,978605,4222,17173
94,978117,4308,17575
95,977639,4324,18037
96,977160,4382,18458
97,976662,4414,18924
98,976180,4463,19357
99,975663,4485,19852
100,975140,4563,20297
101,974641,4612,20747
102,974124,4645,21231
103,973623,4687,21690
104,973094,4732,22174
105,972573,4793,22634
106,972006,4901,23093
107,971469,4962,23569
108,970905,4988,24107
109,970354,5048,24598
110,969766,5170,25064
111,969198,5191,25611
112,968645,5236,26119
113,968052,5298,26650
114,967480,5337,27183
115,966913,5370,27717
116,966328,5447,28225
117,965745,5480,28775
118,965160,5493,29347
119,964530,5590,29880
120,963938,5608,30454
121,963337,5617,31046
122,962720,5650,31630
123,962119,5675,32206
124,961491,5729,32780
125,960847,5804,33349
126,960193,5912,33895
127,959548,5971,34481
128,958906,6054,35040
129,958269,6098,35633
130,957581,6184,36235
131,956888,6225,36887
132,956221,6265,37514
133,955547,6295,38158
134,954820,6379,38801
135,954144,6396,39460
136,953436,6491,40073
137,952747,6557,40696
138,952036,6615,41349
139,951300,6727,41973
140,950590,6712,42698
141,949888,6678,43434
142,949205,6694,44101
143,948497,6708,44795
144,947768,6793,45439
145,947001,6879,46120
146,946262,6908,46830
147,945488,6986,47526
148,944709,7094,48197
149,943927,7162,48911
150,943141,7243,49616
151,942338,7346,50316
152,941496,7482,51022
153,940691,7494,51815
154,939899,7532,52569
155,939117,7526,53357
156,938308,7613,54079
157,937516,7692,54792
158,936693,7757,55550
159,935839,7867,56294
160,935016,7897,57087
161,934171,7964,57865
162,933328,7979,58693
163,932492,7972,59536
164,931644,8012,60344
165,930807,8046,61147
166,929935,8099,61966
167,929068,8151,62781
168,928220,8183,63597
169,927360,8226,64414
170,926494,8227,65279
171,925630,8228,66142
172,924733,8304,66963
173,923818,8382,67800
174,922914,8422,68664
175,921995,8539,69466
176,921043,8661,70296
177,920108,8784,71108
178,919176,8836,71988
179,918248,8909,72843
180,917333,8917,73750
181,916397,8945,74658
182,915450,9025,75525
183,914516,9059,76425
184,913585,9085,77330
185,912633,9117,78250
186,911696,9098,79206
187,910772,9164,80064
188,909773,9203,81024
189,908769,9307,81924
190,907838,9302,82860
191,906837,9384,83779
192,905832,9451,84717
193,904824,9540,85636
194,903797,9592,86611
195,902809,9551,87640
196,901806,9567,88627
197,900777,9608,89615
198,899773,9699,90528
199,898734,9786,91480
