day,S,I,R
0,999999,1,0
1,999998,2,0
2,999994,6,0
3,999986,12,2
4,999978,20,2
5,999962,32,6
6,999939,52,9
7,999918,71,11
8,999890,91,19
9,999862,113,25
10,999826,142,32
11,999790,158,52
12,999743,185,72
13,999689,222,89
14,999632,262,106
15,999577,290,133
16,999503,334,163
17,999430,372,198
18,999345,418,237
19,999253,466,281
20,999166,500,334
21,999068,543,389
22,998966,601,433
23,998859,648,493
24,998756,693,551
25,998642,740,618
26,998536,782,682
27,998423,827,750
28,998301,873,826
29,998159,921,920
30,998007,982,1011
31,997861,1037,1102
32,997724,1079,1197
33,997576,1130,1294
34,997424,1178,1398
35,997263,1220,1517
36,997104,1246,1650
37,996930,1299,1771
38,996746,1355,1899
39,996568,1402,2030
40,996381,1448,2171
41,996192,1487,2321
42,995995,1550,2455
43,995798,1587,2615
44,995582,1652,2766
45,995361,1695,2944
46,995140,1736,3124
47,994903,1789,3308
48,994667,1867,3466
49,994434,1911,3655
50,994205,1961,3834
51,993958,2020,4022
52,993697,2065,4238
53,993452,2107,4441
54,993180,2166,4654
55,992904,2212,4884
56,992615,2285,5100
57,992321,2326,5353
58,992050,2373,5577
59,991765,2423,5812
60,991481,2410,6109
61,991176,2470,6354
62,990884,2497,6619
63,990571,2567,6862
64,990243,2590,7167
65,989923,2659,7418
66,989571,2744,7685
67,989231,2806,7963
68,988897,2867,8236
69,988565,2924,8511
70,988217,2976,8807
71,987872,3034,9094
72,987549,3057,9394
73,987196,3133,9671
74,986816,3190,9994
75,986482,3199,10319
76,986102,3269,10629
77,985718,3312,10970
78,985316,3376,11308
79,984923,3408,11669
80,984533,3459,12008
81,984120,3535,12345
82,983708,3603,12689
83,983288,3660,13052
84,982875,3705,13420
85,982440,3754,13806
86,981998,3843,14159
87,981585,3866,14549
88,981170,3891,14939
89,980715,3952,15333
90,980270,3989,15741
91,979795,4102,16103
92,979317,4200,16483
93,978834,4287,16879
94,978347,4357,17296
95,977847,4404,17749
96,977347,4464,18189
97,976831,4514,18655
98,976334,4556,19110
99,975846,4586,19568
100,975341,4643,20016
101,974856,4644,20500
102,974333,4690,20977
103,973830,4747,21423
104,973317,4801,21882
105,972771,4870,22359
106,972229,4918,22853
107,971665,4998,23337
108,971127,5011,23862
109,970592,4996,24412
110,970010,5085,24905
111,969460,5139,25401
112,968877,5213,25910
113,968291,5303,26406
114,967716,5325,26959
115,967092,5429,27479
116,966516,5420,28064
117,965930,5448,28622
118,965361,5486,29153
119,964758,5521,29721
120,964152,5613,30235
121,963545,5683,30772
122,962912,5770,31318
123,962318,5763,31919
124,961718,5768,32514
125,961084,5824,33092
126,960426,5880,33694
127,959793,5910,34297
128,959170,5953,34877
129,958531,6018,35451
130,957861,6102,36037
131,957177,6145,36678
132,956491,6214,37295
133,955832,6296,37872
134,955182,6313,38505
135,954522,6337,39141
136,953795,6440,39765
137,953100,6502,40398
138,952389,6581,41030
139,951642,6641,41717
140,950930,6688,42382
141,950203,6762,43035
142,949469,6861,43670
143,948738,6950,44312
144,948003,7009,44988
145,947267,7045,45688
146,946501,7124,46375
147,945758,7178,47064
148,944982,7214,47804
149,944210,7246,48544
150,943459,7284,49257
151,942658,7353,49989
152,941828,7437,50735
153,941067,7487,51446
154,940293,7560,52147
155,939517,7615,52868
156,938723,7610,53667
157,937913,7664,54423
158,937104,7706,55190
159,936286,7747,55967
160,935489,7812,56699
161,934655,7842,57503
162,933825,7892,58283
163,932989,7891,59120
164,932164,7927,59909
165,931282,8028,60690
166,930401,8161,61438
167,929541,8194,62265
168,928694,8200,63106
169,927797,8296,63907
170,926917,8340,64743
171,926046,8371,65583
172,925157,8431,66412
173,924278,8474,67248
174,923395,8476,68129
175,922509,8518,68973
176,921640,8542,69818
177,920735,8597,70668
178,919810,8636,71554
179,918868,8711,72421
180,917929,8758,73313
181,916999,8785,74216
182,916071,8820,75109
183,915146,8856,75998
184,914179,8928,76893
185,913178,9018,77804
186,912231,9093,78676
187,911258,9202,79540
188,910325,9218,80457
189,909363,9235,81402
190,908420,9274,82306
191,907456,9272,83272
192,906467,9356,84177
193,905498,9394,85108
194,904533,9414,86053
195,903528,9498,86974
196,902516,9560,87924
197,901522,9623,88855
198,900466,9747,89787
199,899460,9829,90711
