day,S,I,R
0,999999,1,0
1,999995,5,0
2,999987,12,1
3,999977,20,3
4,999956,38,6
5,999930,61,9
6,999901,84,15
7,999862,114,24
8,999840,125,35
9,999805,152,43
10,999762,177,61
11,999704,204,92
12,999661,226,113
13,999606,260,134
14,999549,291,160
15,999475,340,185
16,999397,389,214
17,999315,429,256
18,999238,454,308
19,999147,491,362
20,999047,542,411
21,998950,587,463
22,998847,625,528
23,998743,663,594
24,998632,687,681
25,998509,733,758
26,998390,772,838
27,998268,820,912
28,998134,874,992
29,997979,927,1094
30,997823,991,1186
31,997667,1046,1287
32,997515,1096,1389
33,997382,1129,1489
34,997207,1212,1581
35,997043,1275,1682
36,996881,1304,1815
37,996706,1358,1936
38,996512,1418,2070
39,996339,1445,2216
40,996161,1463,2376
41,995966,1519,2515
42,995747,1563,2690
43,995532,1615,2853
44,995306,1687,3007
45,995087,1733,3180
46,994866,1772,3362
47,994625,1822,3553
48,994392,1870,3738
49,994170,1894,3936
50,993911,1978,4111
51,993664,2030,4306
52,993382,2107,4511
53,993126,2173,4701
54,992866,2223,4911
55,992602,2243,5155
56,992339,2278,5383
57,992058,2338,5604
58,991779,2368,5853
59,991469,2459,6072
60,991176,2503,6321
61,990885,2526,6589
62,990578,2594,6828
63,990268,2659,7073
64,989968,2696,7336
65,989667,2747,7586
66,989349,2798,7853
67,989024,2822,8154
68,988719,2842,8439
69,988391,2868,8741
70,988067,2900,9033
71,987720,2966,9314
72,987345,3059,9596
73,986984,3108,9908
74,986609,3169,10222
75,986203,3270,10527
76,985834,3302,10864
77,985448,3362,11190
78,985046,3440,11514
79,984652,3465,11883
80,984220,3522,12258
81,983797,3566,12637
82,983383,3635,12982
83,982968,3682,13350
84,982548,3738,13714
85,982135,3776,14089
86,981691,3842,14467
87,981234,3917,14849
88,980777,3962,15261
89,980331,3987,15682
90,979870,4046,16084
91,979409,4107,16484
92,978935,4180,16885
93,978451,4271,17278
94,977971,4337,17692
95,977478,4397,18125
96,976999,4454,18547
97,976517,4489,18994
98,976018,4557,19425
99,975498,4617,19885
100,974976,4662,20362
101,974488,4695,20817
102,973980,4714,21306
103,973490,4747,21763
104,972974,4789,22237
105,972446,4822,22732
106,971900,4896,23204
107,971341,4947,23712
108,970766,5031,24203
109,970215,5062,24723
110,969635,5098,25267
111,969058,5176,25766
112,968503,5201,26296
113,967944,5234,26822
114,967357,5302,27341
115,966769,5351,27880
116,966185,5396,28419
117,965573,5434,28993
118,964943,5556,29501
119,964351,5589,30060
120,963729,5600,30671
121,963120,5649,31231
122,962488,5714,31798
123,961873,5746,32381
124,961228,5821,32951
125,960592,5909,33499
126,959936,5999,34065
127,959286,6061,34653
128,958633,6134,35233
129,957975,6177,35848
130,957292,6238,36470
131,956643,6257,37100
132,955974,6278,37748
133,955266,6356,38378
134,954593,6398,39009
135,953881,6426,39693
136,953150,6528,40322
137,952474,6564,40962
138,951784,6572,41644
139,951069,6599,42332
140,950349,6642,43009
141,949611,6692,43697
142,948831,6814,44355
143,948088,6902,45010
144,947364,6936,45700
145,946646,6962,46392
146,945895,7019,47086
147,945161,7063,47776
148,944394,7078,48528
149,943604,7197,49199
150,942821,7260,49919
151,942049,7285,50666
152,941290,7336,51374
153,940496,7402,52102
154,939674,7437,52889
155,938875,7458,53667
156,938061,7540,54399
157,937265,7611,55124
158,936459,7645,55896
159,935633,7724,56643
160,934793,7762,57445
161,933947,7863,58190
162,933126,7897,58977
163,932277,7935,59788
164,931397,8075,60528
165,930547,8076,61377
166,929668,8186,62146
167,928816,8203,62981
168,927970,8181,63849
169,927113,8208,64679
170,926215,8245,65540
171,925326,8309,66365
172,924405,8430,67165
173,923520,8453,68027
174,922614,8533,68853
175,921678,8627,69695
176,920818,8639,70543
177,919910,8675,71415
178,919015,8730,72255
179,918101,8806,73093
180,917181,8815,74004
181,916239,8909,74852
182,915316,8936,75748
183,914337,9060,76603
184,913395,9144,77461
185,912467,9117,78416
186,911522,9206,79272
187,910574,9220,80206
188,909607,9233,81160
189,908626,9297,82077
190,907648,9311,83041
191,906683,9349,83968
192,905651,9473,84876
193,904627,9523,85850
194,903598,9584,86818
195,902564,9632,87804
196,901559,9633,88808
197,900548,9698,89754
198,899517,9783,90700
199,898486,9855,91659
