day,S,I,R
0,999999,1,0
1,999997,3,0
2,999990,10,0
3,999980,20,0
4,999961,38,1
5,999939,56,5
6,999910,83,7
7,999884,99,17
8,999853,121,26
9,999814,149,37
10,999762,187,51
11,999713,219,68
12,999665,246,89
13,999601,282,117
14,999531,328,141
15,999465,352,183
16,999397,381,222
17,999321,413,266
18,999237,467,296
19,999150,498,352
20,999063,541,396
21,998965,586,449
22,998861,627,512
23,998753,681,566
24,998642,714,644
25,998538,730,732
26,998408,785,807
27,998268,844,888
28,998140,889,971
29,997998,941,1061
30,997857,992,1151
31,997696,1053,1251
32,997545,1110,1345
33,997367,1175,1458
34,997189,1248,1563
35,997019,1310,1671
36,996832,1379,1789
37,996661,1420,1919
38,996477,1439,2084
39,996285,1499,2216
40,996080,1539,2381
41,995888,1598,2514
42,995687,1628,2685
43,995475,1658,2867
44,995242,1716,3042
45,995013,1780,3207
46,994775,1844,3381
47,994557,1888,3555
48,994318,1921,3761
49,994071,1981,3948
50,993832,2023,4145
51,993593,2057,4350
52,993339,2084,4577
53,993062,2152,4786
54,992789,2202,5009
55,992498,2283,5219
56,992218,2357,5425
57,991912,2449,5639
58,991622,2483,5895
59,991326,2509,6165
60,991023,2558,6419
61,990718,2597,6685
62,990401,2658,6941
63,990073,2725,7202
64,989743,2785,7472
65,989421,2834,7745
66,989097,2873,8030
67,988764,2942,8294
68,988439,2983,8578
69,988096,3061,8843
70,987737,3130,9133
71,987379,3182,9439
72,986993,3263,9744
73,986607,3311,10082
74,986211,3394,10395
75,985821,3431,10748
76,985443,3460,11097
77,985038,3505,11457
78,984651,3555,11794
79,984231,3614,12155
80,983817,3655,12528
81,983401,3706,12893
82,982972,3784,13244
83,982551,3809,13640
84,982133,3876,13991
85,981741,3894,14365
86,981327,3903,14770
87,980897,3951,15152
88,980449,3992,15559
89,980006,4034,15960
90,979576,4065,16359
91,979100,4115,16785
92,978618,4193,17189
93,978144,4258,17598
94,977656,4300,18044
95,977168,4378,18454
96,976674,4428,18898
97,976173,4483,19344
98,975657,4559,19784
99,975117,4634,20249
100,974602,4710,20688
101,974091,4763,21146
102,973557,4814,21629
103,973036,4850,22114
104,972514,4890,22596
105,971982,4933,23085
106,971450,4929,23621
107,970895,4989,24116
108,970360,4993,24647
109,969773,5117,25110
110,969226,5158,25616
111,968632,5263,26105
112,968039,5315,26646
113,967465,5343,27192
114,966902,5406,27692
115,966315,5496,28189
116,965736,5515,28749
117,965127,5579,29294
118,964510,5659,29831
119,963896,5701,30403
120,963315,5715,30970
121,962668,5826,31506
122,962062,5853,32085
123,961419,5911,32670
124,960785,5991,33224
125,960123,6052,33825
126,959485,6087,34428
127,958829,6159,35012
128,958162,6207,35631
129,957486,6233,36281
130,956830,6247,36923
131,956176,6309,37515
132,955504,6357,38139
133,954847,6381,38772
134,954167,6408,39425
135,953474,6453,40073
136,952795,6501,40704
137,952103,6538,41359
138,951390,6580,42030
139,950699,6621,42680
140,949974,6676,43350
141,949265,6722,44013
142,948538,6769,44693
143,947799,6843,45358
144,947063,6868,46069
145,946283,6980,46737
146,945543,7030,47427
147,944779,7063,48158
148,944014,7101,48885
149,943245,7153,49602
150,942438,7226,50336
151,941657,7301,51042
152,940845,7355,51800
153,940040,7416,52544
154,939228,7501,53271
155,938382,7590,54028
156,937564,7607,54829
157,936724,7670,55606
158,935896,7699,56405
159,935075,7763,57162
160,934241,7815,57944
161,933437,7816,58747
162,932610,7855,59535
163,931773,7920,60307
164,930932,7966,61102
165,930046,8039,61915
166,929207,8071,62722
167,928307,8142,63551
168,927423,8237,64340
169,926560,8252,65188
170,925676,8274,66050
171,924779,8339,66882
172,923894,8404,67702
173,922985,8450,68565
174,922051,8555,69394
175,921096,8663,70241
176,920180,8712,71108
177,919269,8764,71967
178,918356,8801,72843
179,917431,8869,73700
180,916534,8863,74603
181,915589,8931,75480
182,914621,9048,76331
183,913655,9121,77224
184,912703,9202,78095
185,911762,9248,78990
186,910805,9262,79933
187,909832,9341,80827
188,908856,9393,81751
189,907912,9407,82681
190,906928,9489,83583
191,905887,9588,84525
192,904878,9628,85494
193,903883,9643,86474
194,902843,9716,87441
195,901824,9754,88422
196,900797,9830,89373
197,899768,9849,90383
198,898746,9892,91362
199,897695,9982,92323
