day,S,I,R
0,999999,1,0
1,999996,4,0
2,999988,12,0
3,999977,23,0
4,999963,35,2
5,999946,51,3
6,999915,80,5
7,999888,97,15
8,999857,121,22
9,999817,153,30
10,999784,171,45
11,999736,203,61
12,999686,234,80
13,999636,252,112
14,999575,291,134
15,999513,326,161
16,999448,362,190
17,999375,398,227
18,999293,443,264
19,999208,486,306
20,999126,509,365
21,999029,562,409
22,998929,611,460
23,998811,665,524
24,998698,720,582
25,998598,757,645
26,998486,788,726
27,998359,851,790
28,998216,892,892
29,998087,920,993
30,997947,976,1077
31,997803,1032,1165
32,997656,1066,1278
33,997503,1108,1389
34,997330,1175,1495
35,997159,1225,1616
36,997014,1247,1739
37,996840,1280,1880
38,996655,1358,1987
39,996462,1400,2138
40,996256,1458,2286
41,996060,1495,2445
42,995861,1526,2613
43,995651,1580,2769
44,995415,1651,2934
45,995200,1692,3108
46,994979,1731,3290
47,994763,1767,3470
48,994543,1793,3664
49,994296,1876,3828
50,994032,1960,4008
51,993779,2024,4197
52,993528,2090,4382
53,993260,2152,4588
54,993009,2201,4790
55,992747,2253,5000
56,992464,2314,5222
57,992206,2352,5442
58,991941,2388,5671
59,991666,2396,5938
60,991392,2427,6181
61,991093,2493,6414
62,990797,2529,6674
63,990489,2593,6918
64,990168,2627,7205
65,989858,2663,7479
66,989544,2707,7749
67,989227,2756,8017
68,988887,2818,8295
69,988551,2856,8593
70,988219,2903,8878
71,987853,2990,9157
72,987486,3040,9474
73,987134,3060,9806
74,986783,3083,10134
75,986420,3137,10443
76,986057,3188,10755
77,985682,3248,11070
78,985294,3336,11370
79,984905,3391,11704
80,984519,3430,12051
81,984142,3496,12362
82,983729,3542,12729
83,983323,3615,13062
84,982894,3678,13428
85,982491,3742,13767
86,982056,3836,14108
87,981620,3908,14472
88,981197,3940,14863
89,980740,3944,15316
90,980253,4045,15702
91,979786,4098,16116
92,979298,4163,16539
93,978832,4228,16940
94,978366,4242,17392
95,977900,4250,17850
96,977398,4331,18271
97,976899,4394,18707
98,976416,4440,19144
99,975926,4466,19608
100,975431,4558,20011
101,974929,4610,20461
102,974407,4644,20949
103,973898,4684,21418
104,973404,4707,21889
105,972892,4725,22383
106,972351,4811,22838
107,971823,4875,23302
108,971279,4934,23787
109,970729,5020,24251
110,970196,5025,24779
111,969647,5086,25267
112,969083,5173,25744
113,968534,5205,26261
114,967959,5282,26759
115,967403,5321,27276
116,966813,5393,27794
117,966240,5425,28335
118,965638,5482,28880
119,965073,5503,29424
120,964465,5623,29912
121,963819,5718,30463
122,963177,5832,30991
123,962545,5922,31533
124,961896,5930,32174
125,961239,5997,32764
126,960602,6029,33369
127,959974,6057,33969
128,959314,6085,34601
129,958679,6103,35218
130,958002,6141,35857
131,957363,6191,36446
132,956704,6192,37104
133,956007,6282,37711
134,955289,6355,38356
135,954589,6407,39004
136,953869,6467,39664
137,953191,6544,40265
138,952496,6570,40934
139,951804,6614,41582
140,951106,6641,42253
141,950365,6705,42930
142,949610,6789,43601
143,948881,6837,44282
144,948172,6902,44926
145,947446,6925,45629
146,946687,6993,46320
147,945909,7066,47025
148,945156,7132,47712
149,944379,7193,48428
150,943619,7249,49132
151,942847,7254,49899
152,942033,7334,50633
153,941249,7354,51397
154,940485,7381,52134
155,939681,7467,52852
156,938864,7548,53588
157,938050,7611,54339
158,937247,7649,55104
159,936427,7705,55868
160,935619,7780,56601
161,934767,7854,57379
162,933918,7913,58169
163,933087,7934,58979
164,932221,7968,59811
165,931384,7983,60633
166,930537,8055,61408
167,929672,8133,62195
168,928787,8208,63005
169,927952,8243,63805
170,927067,8282,64651
171,926219,8273,65508
172,925364,8310,66326
173,924451,8401,67148
174,923548,8419,68033
175,922618,8559,68823
176,921707,8569,69724
177,920775,8650,70575
178,919846,8718,71436
179,918955,8748,72297
180,918008,8837,73155
181,917070,8920,74010
182,916164,8965,74871
183,915233,9025,75742
184,914275,9090,76635
185,913331,9105,77564
186,912380,9165,78455
187,911392,9236,79372
188,910424,9295,80281
189,909450,9333,81217
190,908456,9459,82085
191,907485,9517,82998
192,906538,9531,83931
193,905546,9604,84850
194,904515,9670,85815
195,903475,9709,86816
196,902429,9723,87848
197,901418,9765,88817
198,900441,9739,89820
199,899418,9775,90807
